Date,Adj Close
2/15/2016,4740.541504
2/16/2016,4744.819336
2/17/2016,4765.321289
2/18/2016,4778.608398
2/19/2016,4697.376953
2/22/2016,4708.437012
2/23/2016,4653.873047
2/24/2016,4657.541016
2/25/2016,4658.14209
2/26/2016,4732.964355
2/29/2016,4770.770508
3/1/2016,4779.799316
3/2/2016,4836.007324
3/3/2016,4843.850098
3/4/2016,4850.693848
3/7/2016,4831.387207
3/8/2016,4810.85498
3/10/2016,4793.016113
3/11/2016,4813.591309
3/14/2016,4877.34082
3/15/2016,4849.591797
3/16/2016,4861.251953
3/17/2016,4885.498047
3/18/2016,4885.518066
3/21/2016,4884.973145
3/22/2016,4855.917969
3/23/2016,4853.986816
3/24/2016,4826.899414
3/28/2016,4773.44043
3/29/2016,4781.111328
3/30/2016,4816.467285
3/31/2016,4845.182129
4/1/2016,4842.99707
4/4/2016,4849.986816
4/5/2016,4857.882813
4/6/2016,4868.040527
4/7/2016,4867.095703
4/8/2016,4846.515137
4/11/2016,4786.787598
4/12/2016,4829.385254
4/13/2016,4852.815918
4/14/2016,4814.658691
4/15/2016,4823.380371
4/18/2016,4865.345215
4/19/2016,4881.740234
4/20/2016,4876.40625
4/21/2016,4902.898926
4/22/2016,4914.54541
4/25/2016,4878.671875
4/26/2016,4813.905273
4/27/2016,4845.469238
4/28/2016,4848.201172
4/29/2016,4838.394531
5/2/2016,4808.131836
5/3/2016,4812.077148
5/4/2016,4822.407715
5/9/2016,4749.130371
5/10/2016,4762.929688
5/11/2016,4799.776855
5/12/2016,4803.134766
5/13/2016,4761.529297
5/16/2016,4731.377441
5/17/2016,4728.97168
5/18/2016,4734.172363
5/19/2016,4704.033691
5/20/2016,4711.694824
5/23/2016,4743.477539
5/24/2016,4710.602051
5/25/2016,4772.791504
5/26/2016,4784.378418
5/27/2016,4814.543457
5/30/2016,4835.844727
5/31/2016,4796.682129
6/1/2016,4839.479492
6/2/2016,4833.037109
6/3/2016,4853.73291
6/6/2016,4895.834473
6/7/2016,4933.796875
6/8/2016,4915.869629
6/9/2016,4876.604004
6/10/2016,4847.867188
6/13/2016,4807.039063
6/14/2016,4821.402344
6/15/2016,4814.636719
6/16/2016,4814.203613
6/17/2016,4834.955078
6/20/2016,4863.341797
6/21/2016,4878.523926
6/22/2016,4896.661621
6/23/2016,4874.119141
6/24/2016,4834.380859
6/27/2016,4835.863281
6/28/2016,4881.980957
6/29/2016,4979.911133
6/30/2016,5016.452148
7/1/2016,4971.387695
7/11/2016,5068.821777
7/12/2016,5099.334961
7/13/2016,5133.733398
7/14/2016,5083.341309
7/15/2016,5109.979004
7/18/2016,5127.301758
7/19/2016,5172.628418
7/20/2016,5242.619141
7/21/2016,5216.77002
7/22/2016,5197.048828
7/25/2016,5220.598633
7/26/2016,5224.191406
7/27/2016,5274.155762
7/28/2016,5299.006836
7/29/2016,5215.791016
8/1/2016,5361.367676
8/2/2016,5373.11377
8/3/2016,5351.669922
8/4/2016,5373.65332
8/5/2016,5420.035156
8/8/2016,5458.766602
8/9/2016,5440.081055
8/10/2016,5423.738281
8/11/2016,5418.876953
8/12/2016,5376.986328
8/15/2016,5320.353516
8/16/2016,5371.636719
8/18/2016,5461.237793
8/19/2016,5415.824707
8/22/2016,5426.963867
8/23/2016,5416.929688
8/24/2016,5403.781738
8/25/2016,5453.904297
8/26/2016,5438.619141
8/29/2016,5370.554688
8/30/2016,5362.107422
8/31/2016,5385.872559
9/1/2016,5334.339355
9/2/2016,5353.25293
9/5/2016,5356.745605
9/6/2016,5371.886719
9/7/2016,5381.144531
9/8/2016,5370.868652
9/9/2016,5281.710938
9/13/2016,5215.36377
9/14/2016,5145.837891
9/15/2016,5265.61377
9/16/2016,5267.563965
9/19/2016,5321.633301
9/20/2016,5302.287109
9/21/2016,5342.383789
9/22/2016,5380.052734
9/23/2016,5388.69873
9/26/2016,5351.931152
9/27/2016,5419.393066
9/28/2016,5425.125977
9/29/2016,5431.745117
9/30/2016,5364.595215
10/3/2016,5463.702637
10/4/2016,5472.103516
10/5/2016,5420.437012
10/6/2016,5409.133789
10/7/2016,5376.939453
10/10/2016,5360.619629
10/11/2016,5381.787598
10/12/2016,5364.401855
10/13/2016,5340.191895
10/14/2016,5399.674316
10/17/2016,5410.092773
10/18/2016,5429.836426
10/19/2016,5409.077637
10/20/2016,5403.529297
10/21/2016,5409.08252
10/24/2016,5420.837402
10/25/2016,5397.660645
10/26/2016,5399.588867
10/27/2016,5416.835938
10/28/2016,5410.269043
10/31/2016,5422.541992
11/1/2016,5416.006836
11/2/2016,5405.455078
11/3/2016,5329.501953
11/4/2016,5362.660156
11/7/2016,5386.208008
11/8/2016,5470.681152
11/9/2016,5414.320801
11/10/2016,5450.306152
11/11/2016,5231.971191
11/14/2016,5115.73877
11/15/2016,5078.500977
11/16/2016,5185.464844
11/17/2016,5193.015137
11/18/2016,5170.108887
11/21/2016,5148.318848
11/22/2016,5204.673828
11/23/2016,5211.996094
11/24/2016,5107.623047
11/25/2016,5122.104004
11/28/2016,5114.571777
11/29/2016,5136.666992
11/30/2016,5148.910156
12/1/2016,5198.754883
